Caption,Image Link 1,Image Link 10,Image Link 2,Image Link 3,Image Link 4,Image Link 5,Image Link 6,Image Link 7,Image Link 8,Image Link 9,Image URLs,Likes,Media Count,Number of Comments,Post Owner
Fresh floral prints crafted with classic feminine energy. Explore new styles at the link in bio. 🌺,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3328710938684292028_7900577635.jpg,,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3328710938684242111_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3327472271139355638_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3327472117434847254_7900577635.mp4,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3326588999320566010_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3326588999320532867_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3326588999295538836_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3326588999270388758_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3326588999270206933_7900577635.jpg,,2467,9,24,farmrio
"Bright things are yet to come. 

Discover our new Spring Summer 24 campaign on March 21st. 

Unlock early access to the collection by subscribing to our newsletter at farmrio.com",/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3326588999270165955_7900577635.jpg,,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3324551181513711294_7900577635.jpg,,,,,,,,,1344,2,25,farmrio
"I’m love, I’m obsessed with our #FARMRioLovers looks. Swipe to get inspired!",/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3324551181505151990_7900577635.jpg,,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3324551181480090543_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3324551181454913882_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3324551181446446732_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3324545955402476314_7900577635.jpg,,,,,,945,5,6,farmrio
Prepared to turn every destination into a getaway with these vaccation-ready item.,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3324545955368956747_7900577635.jpg,,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3324545955343788967_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3324545955335481150_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3324545955335451272_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3324545955335429798_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3324545955335409965_7900577635.jpg,,,,,2725,6,15,farmrio
Final ski of the season and unforgettable memories with our #FARMRioLovers.,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3324545955335320875_7900577635.jpg,,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3324545955326959252_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3324529712683505954_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3324529712666607444_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3324529712658235907_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3324529712616399221_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3324529712616320113_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3324529712616214559_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3323737488391651041_7900577635.jpg,,2938,9,19,farmrio
"we dream 
we wonder 
we sunshine 
we blossom 

Discover our new Spring Summer 24 campaign on March 21st. 

Unlock early access to the collection by subscribing to our newsletter at farmrio.com",/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3323737488391489053_7900577635.jpg,,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3323737488383192926_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3323737488324544943_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3323737488324506886_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3323737488316012307_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3323737488315941166_7900577635.jpg,,,,,3085,6,46,farmrio
Explore our best sellers and ignite your creativity. Tap to shop!,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3323737488315916360_7900577635.jpg,,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3322400426568659297_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3322400426518375052_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3322400426518365626_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3322400426509873378_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3322400426501400877_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3322395425875961756_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3322395425800681300_7900577635.jpg,,,1687,8,17,farmrio
From imagination to boundless possibilities. Get inspired with our #FARMRioLovers!,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3322395425800669360_7900577635.jpg,,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3322395425800466438_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3322391838571823312_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3322391838571649953_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3322391838538197556_7900577635.jpg,,,,,,2543,5,26,farmrio
"Paint the world with joy! Tap to shop. 
#FARMRioLovers",/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3322391838529936613_7900577635.jpg,,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3322391838529730906_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3322391838529710205_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3322391838529686295_7900577635.jpg,,,,,,,1091,4,31,farmrio
Our new FARM Rio To Go collection brings fresh finds to turn every destination into your happy place. Shop now at farmrio.com!,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3322391838521298480_7900577635.jpg,,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3319455290033330962_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3319455290033272484_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3319455290016584436_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3319455289999759322_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3319455289974526393_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3319455289957863059_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3319455289949507556_7900577635.jpg,,,2394,8,21,farmrio
